                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.90154,                0.54746,                0.96579,                0.55523,                0.68321,                0.58542,                0.43269,                0.91695,                0.71376,                 1.0448,             0.00035382,             0.00035382,             0.00035382
                     78,                0.90189,                0.54501,                0.98017,                0.53298,                0.70896,                0.57482,                0.42163,                0.92646,                0.72862,                 1.0533,             0.00033967,             0.00033967,             0.00033967
                     79,                0.90223,                0.54797,                 0.9789,                0.53893,                0.67833,                0.57237,                0.42218,                0.92103,                0.73345,                 1.0545,             0.00032553,             0.00032553,             0.00032553
                     80,                0.88234,                0.54145,                0.97071,                0.54152,                0.62581,                0.57854,                0.42664,                0.91968,                0.74041,                 1.0475,             0.00031138,             0.00031138,             0.00031138
                     81,                0.89542,                0.52932,                0.96206,                0.55944,                0.69825,                0.58212,                0.43246,                0.92317,                0.72883,                 1.0507,             0.00029723,             0.00029723,             0.00029723
                     82,                0.88524,                0.54001,                0.97284,                0.55565,                0.70538,                0.58793,                0.43454,                0.91646,                0.70073,                 1.0489,             0.00028308,             0.00028308,             0.00028308
                     83,                0.89534,                0.53843,                0.96371,                0.53269,                0.67931,                0.58937,                0.43528,                0.91833,                0.72629,                 1.0489,             0.00026894,             0.00026894,             0.00026894
                     84,                0.88796,                0.53119,                0.96965,                0.54937,                0.65829,                0.59001,                0.43884,                0.91886,                0.71501,                 1.0528,             0.00025479,             0.00025479,             0.00025479
                     85,                0.87228,                0.52424,                0.95478,                0.56255,                0.67524,                0.59097,                0.43716,                0.91699,                0.70182,                 1.0483,             0.00024064,             0.00024064,             0.00024064
                     86,                0.87454,                0.52098,                0.95636,                0.52895,                0.69273,                0.59152,                0.43971,                0.90853,                0.69229,                 1.0436,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.8916,                0.53232,                0.96465,                0.52074,                0.71589,                0.59122,                0.43777,                0.90458,                0.69904,                 1.0442,             0.00021235,             0.00021235,             0.00021235
                     88,                0.88255,                0.52566,                0.97062,                0.54718,                0.69044,                0.57887,                0.42894,                0.90887,                0.71936,                 1.0484,              0.0001982,              0.0001982,              0.0001982
                     89,                0.87453,                0.52649,                 0.9623,                0.54946,                0.69458,                0.58876,                0.43558,                0.91617,                0.69488,                 1.0457,             0.00018406,             0.00018406,             0.00018406
                     90,                0.88771,                0.53309,                0.96543,                0.53281,                0.68305,                0.59196,                0.43741,                 0.9076,                0.68584,                 1.0454,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.8779,                 0.5285,                0.96857,                0.52374,                0.68222,                0.58256,                0.42933,                0.91596,                0.71066,                 1.0531,             0.00015576,             0.00015576,             0.00015576
                     92,                0.86492,                0.51687,                0.96497,                0.56875,                0.69405,                0.59089,                0.43434,                0.91475,                0.70707,                 1.0512,             0.00014161,             0.00014161,             0.00014161
                     93,                0.86643,                0.50087,                0.95657,                0.56282,                0.69296,                0.58973,                0.43512,                 0.9115,                0.69971,                 1.0468,             0.00012747,             0.00012747,             0.00012747
                     94,                0.85431,                0.50638,                 0.9538,                0.56201,                0.67719,                0.58825,                0.43478,                0.91154,                0.70835,                 1.0452,             0.00011332,             0.00011332,             0.00011332
                     95,                0.86551,                0.49949,                0.95594,                0.54095,                0.68226,                0.58877,                0.43583,                0.90988,                0.69379,                 1.0486,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.8541,                0.49129,                0.95938,                 0.5719,                0.69984,                0.59416,                0.43949,                0.90557,                0.69051,                 1.0447,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.85601,                0.49227,                0.95419,                 0.5803,                0.68728,                0.58894,                0.43442,                0.90697,                0.70861,                 1.0474,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.85765,                 0.4932,                0.95959,                0.56555,                0.68288,                 0.5909,                0.43571,                0.90429,                0.70283,                 1.0438,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.86786,                0.50027,                0.95864,                0.58449,                0.67112,                0.59275,                0.43779,                0.90501,                 0.6935,                 1.0445,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.85718,                 0.4988,                0.95279,                0.57145,                0.68156,                0.59297,                0.43783,                0.90493,                0.69485,                 1.0441,             2.8437e-05,             2.8437e-05,             2.8437e-05
